age1,d18O1
2009.5,35.1
2009,35.1
2008.6,35.1
2008.1,35.2
2007.6,35.1
2007.1,35.1
2006.7,34.9
2006.2,35.1
2005.7,35.1
2005.2,35.2
2004.8,35.4
2004.3,35.2
2003.8,35.3
2003.3,35.5
2002.9,35.5
2002.4,35.6
2001.9,36.1
2001.4,36.5
2001,36.6
2000.5,36.6
2000,36.6
1999.5,36.6
1999.1,36.7
1998.6,36.8
1998.1,36.9
1997.6,37
1997.2,37.1
1996.7,37.2
1996.2,37.4
1995.7,37.7
1995.3,37.7
1994.8,37.7
1994.3,38
1993.8,38.2
1993.4,38
1992.9,38.2
1992.4,38
1991.9,38.2
1991.5,38
1991,38.3
1990.5,38.3
1990,38.3
1989.6,38.5
1989.1,38.6
1988.6,38.8
1988.1,39
1987.7,39.2
1987.2,39.2
1986.7,39.4
1986.2,39.5
1985.8,39.6
1985.3,39.6
1984.8,39.7
1984.3,39.7
1983.9,39.8
1983.4,39.9
1982.9,39.9
1982.4,39.8
1982,39.9
1981.5,39.8
1981,39.8
1980.5,39.9
1980.1,39.8
1979.6,39.8
1979.1,39.8
1978.6,39.8
1978.2,39.8
1977.7,39.8
1977.2,39.8
1976.7,39.8
1976.3,39.8
1975.8,39.9
1975.3,39.9
1974.8,39.9
1974.3,40.1
1973.9,39.9
1973.4,40.1
1972.9,39.9
1972.4,39.8
1972,39.8
1971.5,39.9
1971,39.9
1970.5,39.9
1970.1,40.1
1969.6,40.1
1969.1,40.1
1968.6,40.1
1968.2,40.1
1967.7,39.9
1967.2,39.8
1966.7,39.8
1966.3,39.8
1965.8,39.8
1965.3,39.8
1964.8,39.8
1964.4,39.8
1963.9,39.8
1963.4,39.8
1962.9,39.7
1962.5,39.7
1962,39.7
1961.5,39.7
1961,39.7
1960.6,39.7
1960.1,39.7
1959.6,39.5
1959.1,39.5
1958.7,39.5
1958.2,39.5
1957.7,39.4
1957.2,39.3
1956.8,39.3
1956.3,39.3
1955.8,39.2
1955.3,39.2
1954.9,39.2
1954.4,39.3
1953.9,39.2
1953.4,39.3
1953,39.3
1952.5,39.3
1952,39.3
1951.5,39.3
1951.1,39.2
1950.6,39.2
1950.1,39
1949.6,38.8
1949.2,38.7
1948.7,38.4
1948.2,38.1
1947.7,38
1947.3,38.1
1946.8,38
1946.3,37.9
1945.8,37.9
1945.4,37.8
1944.9,37.7
1944.4,37.7
1943.9,37.6
1943.5,37.5
1943,37.7
1942.5,37.6
1942,37.6
1941.6,37.5
1941.1,37.5
1940.6,37.6
1940.1,37.5
1939.7,37.5
1939.2,37.6
1938.7,37.7
1938.2,37.6
1937.7,37.6
1937.3,37.5
1936.8,37.4
1936.3,37.3
1935.8,37.4
1935.4,37.4
1934.9,37.4
1934.4,37.4
1933.9,37.3
1933.5,37.3
1933,37.4
1932.5,37.3
1932,37.3
1931.6,37.4
1931.1,37.5
1930.6,37.5
1930.1,37.6
1929.7,37.6
1929.2,37.7
1928.7,37.7
1928.2,37.7
1927.8,37.8
1927.3,37.9
1926.8,37.9
1926.3,37.9
1925.9,38
1925.4,38.3
1924.9,38.6
1924.4,38.6
1924,38.3
1923.5,38.3
1923,37.9
1922.5,37.9
1922.1,37.9
1921.6,38.3
1921.1,39
1920.6,39.4
1920.2,39.4
1919.7,39.4
1919.2,39.5
1918.7,39.4
1918.3,39.4
1917.8,39.4
1917.3,39.4
1916.8,39.4
1916.4,39.4
1915.9,39.6
1915.4,39.6
1914.9,39.6
1914.5,39.6
1914,39.7
1913.5,39.7
1913,39.7
1912.6,39.9
1912.1,40.2
1911.6,40.2
1911.1,40.3
1910.7,40.5
1910.2,40.7
1909.7,40.7
1909.2,40.5
1908.8,40.7
1908.3,40.9
1907.8,41
1907.3,41.2
1906.9,41.2
1906.4,41.1
1905.9,41.3
1905.4,41.5
1905,41.5
1904.5,41.7
1904,41.7
1903.5,41.8
1903,41.8
1902.6,41.8
1902.1,41.8
1901.6,41.8
1901.1,41.8
1900.7,41.8
1900.2,41.8
1899.7,41.8
1899.2,41.9
1898.8,41.9
1898.3,41.9
1897.8,41.9
1897.3,41.9
1896.9,41.9
1896.4,41.9
1895.9,42
1895.4,42
1895,42.2
1894.5,42.7
1894,43
1893.5,43
1893.1,43
1892.6,43
1892.1,43
1891.6,43
1891.2,43
1890.7,43
1890.2,43
1889.7,43
1889.3,43
1888.8,43
1888.3,42.7
1887.8,42.7
1887.4,42.7
1886.9,42.7
1886.4,42.7
1885.9,43
1885.5,43
1885,43
1884.5,42.7
1884,42.6
1883.6,42.6
1883.1,42.9
1882.6,42.9
1882.1,43
1881.7,43
1881.2,43
1880.7,43.1
1880.2,43.2
1879.8,43.2
1879.3,43.2
1878.8,43.3
1878.3,43.3
1877.9,43.3
1877.4,43.3
1876.9,43.5
1876.4,43.5
1876,43.5
1875.5,43.5
1875,43.7
1874.5,43.9
1874.1,43.9
1873.6,43.9
1873.1,43.9
1872.6,43.9
1872.2,43.9
1871.7,43.9
1871.2,43.9
1870.7,43.9
1870.3,43.9
1869.8,43.7
1869.3,43.7
1868.8,43.9
1868.4,43.9
1867.9,43.7
1867.4,43.5
1866.9,43.5
1866.4,43.3
1866,43.3
1865.5,43.2
1865,43.2
1864.5,43.1
1864.1,43.1
1863.6,43.1
1863.1,43.1
1862.6,43.1
1862.2,43.1
1861.7,43.1
1861.2,43.1
1860.7,43.1
1860.3,43.1
1859.8,43.1
1859.3,43.1
1858.8,43.1
1858.4,43.2
1857.9,43.2
1857.4,43.2
1856.9,43.2
1856.5,43.2
1856,43.1
1855.5,43.1
1855,43.1
1854.6,43.1
1854.1,43.1
1853.6,43.1
1853.1,43
1852.7,43.1
1852.2,43.1
1851.7,43.1
1851.2,43.1
1850.8,43.2
1850.3,43.2
1849.8,43.1
1849.3,43.1
1848.9,43.1
1848.4,43
1847.9,42.8
1847.4,42.7
1847,42.7
1846.5,42.7
1846,42.8
1845.5,42.7
1845.1,42.6
1844.6,42.6
1844.1,42.6
1843.6,42.5
1843.2,42.4
1842.7,42.4
1842.2,42.4
1841.7,42.4
1841.3,42.3
1840.8,42.3
1840.3,42.5
1839.8,42.6
1839.4,42.6
1838.9,42.5
1838.4,42.5
1837.9,42.5
1837.5,42.5
1837,42.5
1836.5,42.5
1836,42.5
1835.6,42.5
1835.1,42.6
1834.6,42.5
1834.1,42.5
1833.7,42.6
1833.2,42.7
1832.7,42.7
1832.2,42.8
1831.7,43
1831.3,43
1830.8,43
1830.3,43.1
1829.8,43.1
1829.4,43.1
1828.9,43.1
1828.4,43.2
1827.9,43.2
1827.5,43.2
1827,43.2
1826.5,43.2
1826,43.2
1825.6,43.2
1825.1,43.2
1824.6,43.3
1824.1,43.5
1823.7,43.5
1823.2,43.5
1822.7,43.5
1822.2,43.7
1821.8,43.9
1821.3,44
1820.8,44.2
1820.3,44.2
1819.9,44.2
1819.4,44.2
1818.9,44
1818.4,44
1818,44
1817.5,44
1817,44.2
1816.5,44.2
1816.1,44.3
1815.6,44.4
1815.1,44.7
1814.6,44.7
1814.2,44.7
1813.7,44.7
1813.2,44.9
1812.7,44.7
1812.3,44.7
1811.8,44.7
1811.3,44.9
1810.8,44.8
1810.4,44.9
1809.9,44.9
1809.4,44.9
1808.9,44.9
1808.5,44.9
1808,44.9
1807.5,44.9
1807,44.9
1806.6,44.9
1806.1,44.9
1805.6,44.9
1805.1,44.9
1804.7,44.9
1804.2,44.9
1803.7,44.9
1803.2,44.9
1802.8,44.9
1802.3,44.9
1801.8,44.9
1801.3,44.8
1800.9,44.8
1800.4,44.8
1799.9,44.8
1799.4,44.8
1799,44.8
1798.5,44.6
1798,44.3
1797.5,44.2
1797.1,44.2
1796.6,44.2
1796.1,44.2
1795.6,44.2
1795.1,44.2
1794.7,44.2
1794.2,44.1
1793.7,44.1
1793.2,43.8
1792.8,43.4
1792.3,43.1
1791.8,43.1
1791.3,43
1790.9,43
1790.4,42.9
1789.9,42.9
1789.4,42.9
1789,43
1788.5,43
1788,43
1787.5,43
1787.1,43
1786.6,42.8
1786.1,42.8
1785.6,42.6
1785.2,42.6
1784.7,42.4
1784.2,42.1
1783.7,42.1
1783.3,42.1
1782.8,42.1
1782.3,42.1
1781.8,42.1
1781.4,42.4
1780.9,42.1
1780.4,42.4
1779.9,42.4
1779.5,42.1
1779,41.9
1778.5,41.9
1778,41.7
1777.6,41.7
1777.1,41.7
1776.6,41.7
1776.1,41.9
1775.7,41.9
1775.2,41.9
1774.7,42.1
1774.2,42.1
1773.8,42.2
1773.3,42.1
1772.8,41.9
1772.3,41.9
1771.9,42.1
1771.4,42.1
1770.9,42.2
1770.4,42.2
1770,42.2
1769.5,42.2
1769,42.2
1768.5,42.2
1768.1,42.1
1767.6,42.2
1767.1,42.2
1766.6,42.1
1766.2,42.1
1765.7,42.2
1765.2,42.2
1764.7,42.2
1764.3,42.2
1763.8,42.4
1763.3,42.4
1762.8,42.4
1762.4,42.4
1761.9,42.4
1761.4,42.6
1760.9,42.6
1760.4,42.6
1760,42.7
1759.5,42.7
1759,42.7
1758.5,42.7
1758.1,42.7
1757.6,42.7
1757.1,42.6
1756.6,42.6
1756.2,42.7
1755.7,42.7
1755.2,42.7
1754.7,42.7
1754.3,42.7
1753.8,42.7
1753.3,42.8
1752.8,42.8
1752.4,42.9
1751.9,43
1751.4,42.9
1750.9,42.9
1750.5,42.9
1750,42.9
1749.5,43
1749,42.9
1748.6,42.9
1748.1,42.8
1747.6,42.8
1747.1,42.9
1746.7,43
1746.2,43
1745.7,43
1745.2,43.1
1744.8,42.9
1744.3,42.8
1743.8,42.8
1743.3,42.7
1742.9,42.8
1742.4,42.8
1741.9,42.7
1741.4,42.7
